house_id,beds,baths,living_area,house_type,year_built,heating,cooling,parking,price,price_per_sqft
153249692,--,--,"2,468",Multiple Occupancy,1951,"Forced air, Gas",None,3 spaces,"$1,695,000",$687
89237737,2,2,"1,037",Condo,2007,No Data,No Data,No Data,"$1,249,000","$1,204"
54535555,2,2,"1,600",Condo,1999,"Forced air, Gas",Central,2 spaces,"$244,900",$153
26907572,3,2,"1,362",Single Family,1983,Forced air,Central,1 space,"$165,000",$121
108871045,3,2,"1,750",Single Family,1942,"Forced air, Gas",Central,2 spaces,"$369,900",$211
40472965,3,1,864,Single Family,1951,"Forced air, Gas",Central,1 space,"$169,900",$197
65557381,2,1,"1,100",Condo,1961,Gas,Wall,1 space,"$129,500",$118
110749564,3,2,"2,461",Single Family,1938,"Forced air, Gas",Central,2 spaces,"$749,900",$305
20643510,5,4,"1,950",Multiple Occupancy,1946,Wall,Wall,8 spaces,"$899,000",$461
87717960,4,3,"2,600",Condo,1890,"Forced air, Gas",Central,1 space,"$265,000",$102
20797557,3,3,"1,729",Single Family,1960,Forced air,Central,2 spaces,"$2,100,000","$1,215"
125234157,2,2,"1,350",Condo,2012,Forced air,Central,2 spaces,"$249,000",$184
20800583,3,3,"1,587",Single Family,1954,"None, Forced air",Central,2 spaces,"$2,499,000","$1,575"
70753128,2,2,"1,385",Townhouse,2005,"Forced air, Heat pump",Central,2 spaces,"$199,999",$144
26794313,3,1,"1,352",Single Family,1953,Other,Central,No Data,"$159,700",$118
36743778,4,3,"3,390",Single Family,2009,Heat pump,Central,5 spaces,"$849,900",$251
84640400,4,3,"2,923",Single Family,2007,"Forced air, Electric",Central,3 spaces,"$345,000",$118
104454639,1,1,801,Condo,2007,Heat pump,Central,1 space,"$239,000",$298
19580018,1,1,931,Condo,1985,"None, Forced air",Wall,1 space,"$649,000",$697
19594284,3,3,"1,310",Single Family,1959,Forced air,No Data,2 spaces,"$1,149,000",$877
96794859,3,2,"1,924",Single Family,1950,"Forced air, Wall, Electric, Gas",Central,2 spaces,"$289,000",$150
29333050,5,5,"6,796",Single Family,2001,"Forced air, Electric, Gas",Central,3 spaces,"$2,395,000",$352
43695222,4,3,"2,091",Single Family,1997,Forced air,Central,6 spaces,"$289,900",$139
19556933,2,2,876,Condo,1987,"Forced air, Gas",Central,1 space,"$669,800",$765
19557393,1,1,653,Condo,1972,"Forced air, Gas",Wall,1 space,"$500,000",$766
7505448,3,2,"1,500",Single Family,1946,Other,Evaporative,4 spaces,"$139,900",$93
246025291,4,3,"2,500",Single Family,2020,"Forced air, Heat pump",Central,2 spaces,"$329,990",$132
284859871,3,1,"1,303",Single Family,1950,Electric,No Data,1 space,"$199,000",$153
70465543,1,1,--,Condo,2003,"Forced air, Gas",Central,1 space,"$284,900",
26951537,3,3,"1,555",Single Family,1977,"Forced air, Gas",Other,2 spaces,"$245,000",$158
7519505,3,1,"1,140",Single Family,1952,Heat pump,"Central, Refrigeration",3 spaces,"$299,900",$263
448457,1,1,659,Condo,1957,Forced air,Central,No Data,"$273,500",$415
29334463,4,4,"5,381",Single Family,1994,"Forced air, Gas",Central,4 spaces,"$1,695,000",$315
29331269,5,6,"5,577",Single Family,1987,Forced air,Central,5 spaces,"$1,850,000",$332
29334477,4,5,"4,434",Single Family,2001,Forced air,Central,2 spaces,"$1,295,000",$292
459564,3,4,"3,120",Single Family,1979,Forced air,Central,2 spaces,"$1,095,000",$351
95632851,2,3,"2,110",Townhouse,2009,Forced air,Central,2 spaces,"$1,390,000",$659
20788058,4,3,"2,853",Single Family,1923,Forced air,Central,3 spaces,"$2,125,000",$745
3592202,3,1,"1,100",Single Family,1956,"Other, Gas",Central,2 spaces,"$295,000",$268
121066995,2,2,"1,191",Condo,2005,"Forced air, Gas",Central,1 space,"$225,500",$189
81921171,2,2,"1,577",Condo,2005,Forced air,Central,No Data,"$595,000",$377
87724167,2,2,--,Condo,2005,"Forced air, Gas",Central,1 space,"$275,000",
29333052,7,9,"9,579",Single Family,2002,"Other, Gas",Central,No Data,"$5,500,000",$574
19594537,4,2,"1,810",Single Family,1954,"Forced air, Gas",Central,1 space,"$1,699,946",$939
448535,1,1,855,Condo,1957,"Forced air, Gas",Central,1 space,"$310,000",$363
2078389959,4,4,"2,462",Single Family,2019,"Forced air, Heat pump",Central,2 spaces,"$749,800",$305
306645920,4,5,"4,961",Single Family,2020,Forced air,Central,5 spaces,"$3,350,000",$675
26860844,3,1,"1,120",Single Family,1955,Gas,Wall,No Data,"$119,000",$106
61962938,3,3,"1,633",Condo,2002,"Forced air, Gas",Central,1 space,"$439,900",$269
20797583,1,1,710,Single Family,1921,"Wall, Gas",None,1 space,"$870,000","$1,225"
19607696,3,2,"1,554",Single Family,1949,"Forced air, Gas",None,1 space,"$1,399,000",$900
158778443,3,3,"2,547",Single Family,1865,"Forced air, Gas",Central,2 spaces,"$375,000",$147
27290268,3,2,"2,010",Single Family,1994,"Forced air, Gas",Central,2 spaces,"$285,000",$142
458486,2,6,950,Apartment,1932,Forced air,Other,No Data,"$1,751,965",
36744362,3,1,"1,344",Single Family,1981,"Heat pump, Electric",Central,No Data,"$275,000",$205
55396371,4,3,"2,008",Single Family,1920,Forced air,Central,1 space,"$599,900",$299
27263280,3,2,"1,720",Single Family,1985,Forced air,Central,2 spaces,"$289,900",$169
55397047,3,2,975,Single Family,1955,Radiant,None,No Data,"$209,900",$215
15181623,4,3,"2,468",Single Family,1937,No Data,No Data,Attached Garage,"$2,750,000","$1,114"
17112626,3,2,"1,225",Single Family,1960,Forced air,No Data,4 spaces,"$569,900",$465
19599402,3,2,"1,654",Single Family,1957,"Forced air, Gas",Central,1 space,"$1,598,889",$967
7506397,4,2.5,"1,858",Single Family,2020,Forced air,Evaporative,4 spaces,"$278,000",$150
2077871631,2,1,--,Condo,No Data,"Forced air, Gas",No Data,2 spaces,"$129,000",
20802252,3,3,"2,720",Single Family,1974,Forced air,Central,2 spaces,"$2,200,000",$809
26817089,4,2,"1,164",Single Family,1970,"Forced air, Electric",Central,1 space,"$189,900",$163
20802736,3,3,"3,400",Single Family,1953,Forced air,Central,2 spaces,"$10,500",$3
20690665,2,3,"1,200",Single Family,1929,Wall,Wall,5 spaces,"$765,000",$638
125235199,3,2,"1,295",Condo,2012,Forced air,Central,2 spaces,"$250,000",$193
19599061,2,1,"1,019",Single Family,1947,"Forced air, Electric, Gas",None,2 spaces,"$899,900",$883
110717469,3,2,"1,872",Single Family,1948,"Forced air, Gas",Central,2 spaces,"$374,900",$200
3591619,3,1,"1,000",Single Family,1958,"Forced air, Gas",Central,2 spaces,"$225,425",
61122245,1,2,"1,559",Condo,2002,Forced air,Central,No Data,"$485,000",$311
26816793,2,1,761,Single Family,1954,"Forced air, Gas",Other,2 spaces,"$125,000",$164
83239335,2,2,"1,047",Condo,2008,Forced air,Central,1 space,"$349,900",$334
17044002,3,2,"1,296",Single Family,1987,"Forced air, Gas",Wall,6 spaces,"$554,900",$428
36721173,5,2,"1,668",Single Family,1979,"Heat pump, Electric",Central,No Data,"$329,000",$197
61122536,2,1,995,Condo,2003,Forced air,Central,No Data,"$299,900",$301
27263190,3,3,"1,804",Single Family,1986,Forced air,Central,2 spaces,"$259,000",$144
110714834,3,3,"1,915",Single Family,1936,"Forced air, Gas",Central,2 spaces,"$434,900",$227
7515762,2,1,930,Single Family,1945,Gas,Evaporative,3 spaces,"$149,900",$161
110745460,3,2,"1,928",Single Family,1942,"Forced air, Gas",Central,2 spaces,"$439,900",$228
111710774,2,2,"1,345",Condo,2010,Forced air,Central,Attached Garage,"$1,655,000","$1,230"
43693622,4,3,"3,070",Single Family,1992,"Forced air, Heat pump, Electric",Central,2 spaces,"$459,000",$150
89028797,2,1,760,Single Family,1948,"Forced air, Gas",Central,2 spaces,"$575,000",$757
96794753,3,2,"1,524",Single Family,1942,"Forced air, Gas",No Data,2 spaces,"$224,900",$148
20641954,2,1,974,Single Family,1955,Wall,Wall,1 space,"$647,000",$664
7500794,5,2,"1,626",Single Family,1946,Other,Other,2 spaces,"$200,000",$123
26798388,4,2,"1,811",Single Family,2020,Forced air,Refrigeration,1 space,"$215,000",$119
17017506,3,2,"1,550",Single Family,1975,"Forced air, Gas",Wall,5 spaces,"$499,900",$323
110701630,3,3,"1,270",Single Family,1965,"Forced air, Gas",Central,2 spaces,"$259,900",$205
64969813,2,2,"1,160",Condo,2002,No Data,No Data,No Data,"$949,000",$818
442860,2,2,"1,480",Condo,1990,"Forced air, Electric",Central,2 spaces,"$695,900",$470
89923337,3,2,"1,250",Condo,2007,"Forced air, Gas",Central,2 spaces,"$250,000",$200
99356274,2,2,"1,605",Condo,2008,"Forced air, Gas",Central,2 spaces,"$242,900",$151
55420773,4,2,"1,543",Single Family,1909,"Forced air, Gas",None,No Data,"$429,900",$279
110755705,2,2,"1,901",Single Family,1931,"Radiant, Gas",No Data,1 space,"$279,900",$147
19557451,1,1,653,Condo,1972,None,None,No Data,"$495,000",$758
20784175,16,14,"8,100",Multi Family,2020,Forced air,Central,8 spaces,"$2,895,000",$357
43700869,3,2,"2,182",Single Family,1986,Forced air,Central,2 spaces,"$294,900",$135
80823358,2,2,"1,166",Condo,2005,"Forced air, Solar",Central,1 space,"$168,000",$144
3592461,4,2,"1,475",Single Family,1956,Baseboard,No Data,2 spaces,"$270,000",$183
36729707,4,3,"3,684",Single Family,1993,"Forced air, Gas",Central,2 spaces,"$450,000",$122
3591197,2,1,750,Condo,1968,"Forced air, Gas",Central,1 space,"$114,000",$152
80778341,6,4,"3,954",Single Family,2006,"Forced air, Electric, Gas",Central,3 spaces,"$495,000",$125
26936483,3,2,"1,789",Single Family,1994,"Forced air, Gas",Central,2 spaces,"$365,000",$204
2077565351,1,1,--,Condo,1969,"Baseboard, Gas",No Data,1 space,"$89,900",
19580903,2,2,"1,165",Townhouse,1984,"Forced air, Gas",None,2 spaces,"$949,000",$815
29329522,4,4,"3,772",Single Family,1997,Forced air,Central,2 spaces,"$1,700,000",$451
7512973,4,1,"1,169",Single Family,1962,"Other, Electric",Refrigerator,2 spaces,"$245,000",$210
84642661,2,2,"1,150",Condo,2007,Forced air,Central,No Data,"$139,000",$121
63790404,1,1,767,Condo,2005,Forced air,Central,2 spaces,"$255,000",$332
60977467,3,1.75,"1,092",Single Family,1926,"Electric, Gas",Refrigerator,5 spaces,"$275,000",$252
20794415,3,4,"2,083",Condo,1985,Forced air,Central,2 spaces,"$1,495,000",$718
17115104,3,2,"1,167",Single Family,1976,Forced air,No Data,4 spaces,"Zestimate®: $489,481",
442861,2,2,"1,406",Condo,1990,"Forced air, Electric",Central,2 spaces,"$695,900",$495
110724472,4,2,"2,217",Single Family,1928,"Radiant, Gas",Central,2 spaces,"$510,000",$230
20795290,2,2,"1,191",Condo,1959,"Other, Gas",Central,1 space,"$779,500",$654
101240330,3,4,"3,000",Single Family,2015,Gas,Central,2 spaces,"$449,000",$150
