house_id,home_type,roof_material,new_construction,major_remodel_year
84001081,Single Family,Composition,No,2007
65562967,Condo,,No,
110717248,Single Family,,No,1970
241585552,Condo,,No,
125257061,Condo,Built-up,No,2012
110718999,Single Family,,No,1970
79843055,Condo,Other,No,
17016010,Single Family,Tile,No,1997
448548,Condo,,No,1978
17016789,Single Family,Composition,No,1952
7514658,Multiple Occupancy,Other,No,1988
2078089792,Condo,Other,No,
20639002,Single Family,,No,1960
7519355,Single Family,Other,No,
19580714,Single Family,Composition,No,1951
453141,Single Family,Slate,No,
20797716,Single Family,Composition,No,1979
20794223,Single Family,Composition,No,1920
110729370,Single Family,,No,1980
27324149,Single Family,Composition,No,1985
63012888,Condo,Other,No,2006
55397006,Single Family,Asphalt,No,1966
158776765,Single Family,Other,No,
17010299,Single Family,Composition,No,1957
104454096,Condo,,No,2008
81968055,Single Family,Other,No,1956
2077819232,Condo,,No,
15086469,Condo,,No,
111435637,Single Family,Composition,No,1960
27325725,Single Family,Composition,No,1984
2077915350,Single Family,Composition,No,
66134507,Single Family,Composition,No,2004
7515343,Single Family,Other,No,
15069492,Condo,,No,
26802339,Single Family,Composition,No,1957
2078664523,Single Family,Metal,No,
113950920,Townhouse,,No,
69669976,Single Family,Composition,No,2005
449292,Multiple Occupancy,Other,No,1991
70447588,Condo,Asphalt,No,
60529017,Single Family,Shake / Shingle,No,
27324765,Single Family,Composition,No,1985
19581408,Townhouse,Composition,No,1979
26819446,Single Family,Composition,No,2016
20796184,Condo,Other,No,1970
104453117,Condo,,No,2009
3591199,Condo,Other,No,
3591833,Single Family,Asphalt,No,
89148047,Single Family,Tile,No,2008
19579826,Single Family,Composition,No,
70336895,Single Family,Tile,No,
92352811,Single Family,Other,No,
7515356,Single Family,Other,No,2013
26906412,Single Family,Composition,No,2000
26947300,Single Family,Composition,No,1984
36731224,Townhouse,Other,No,
26817292,Single Family,Composition,No,1954
306141859,Single Family,,Yes,
20784322,Single Family,Other,No,2015
58297288,Single Family,Metal,No,2002
7515443,Single Family,Other,No,
20785955,Single Family,,No,1923
82294487,Condo,Other,No,
55421174,Single Family,Asphalt,No,1968
27326048,Single Family,Composition,No,1983
70747556,Single Family,Other,No,2005
7514205,Single Family,Other,No,
65546308,Condo,Other,No,
110737102,Single Family,,No,1980
69302229,Townhouse,Tile,No,2005
60261285,Condo,Other,No,
29333062,Single Family,Tile,No,
26794863,Single Family,Composition,No,1957
19556691,Single Family,Composition,No,1954
27327034,Single Family,Composition,No,1990
26795771,Single Family,Composition,No,1954
36721864,Single Family,Other,No,
43695007,Single Family,Composition,No,1996
71488699,Single Family,Other,No,
15072610,Condo,,No,
29333077,Single Family,Tile,No,2012
29323270,Single Family,Composition,No,
29333063,Single Family,Other,No,2017
95060776,Single Family,,No,1975
3591114,Single Family,Asphalt,No,
15131932,Single Family,Composition,No,2008
63509948,Condo,Composition,No,2005
26949149,Single Family,Composition,No,1971
29475480,Single Family,Tile,No,
68978645,Single Family,Composition,No,2005
2136248651,Condo,,No,
121067648,Condo,Other,No,
89667847,Single Family,,No,2008
246025934,Single Family,,Yes,
7512449,Single Family,Other,No,
55397049,Single Family,Asphalt,No,1978
458477,Single Family,Composition,No,2008
448664,Condo,,No,1982
110738232,Single Family,,No,1990
125230936,Condo,Built-up,No,2012
3593067,Single Family,Asphalt,No,
26947748,Single Family,Composition,No,1973
87691710,Condo,Other,No,
27327976,Single Family,Composition,No,1988
63698345,Condo,,No,
2078005094,Condo,,No,
26818503,Single Family,Composition,No,1971
113979252,Single Family,Asphalt,No,1952
65544482,Condo,,No,
125313917,Condo,Built-up,No,2012
40472968,Single Family,,No,
26946279,Single Family,Composition,No,1977
26994303,Single Family,Composition,No,1965
7505336,Single Family,Other,No,
2079567485,Condo,Tile,No,
43669888,Single Family,Composition,No,1958
55405981,Condo,Other,No,1998
110753479,Single Family,,No,1970
15080532,Single Family,,No,
247164329,Condo,,No,2016
20641726,Single Family,,No,1961
2126801952,Condo,Composition,No,
