house_id,full_bathrooms,half_bathrooms,basement,flooring,appliances,total_interior_livable_area,fireplace
17016010,2,,None,"Hardwood, Tile","Garbage disposal, Microwave, Refrigerator","1,710 sqft",Yes
448548,1,,,,,825 sqft,
17016789,2,,,,Refrigerator,840 sqft,
7514658,,,,"Concrete, Tile, Other",Refrigerator,"2,520 sqft",
2078089792,1,,,"Tile, Carpet, Hardwood","Microwave, Range / Oven, Refrigerator",,
20639002,1,,None,"Hardwood, Laminate","Microwave, Refrigerator",661 sqft,
7519355,,,,Tile,"Dryer, Washer","1,438 sqft",Yes
19580714,3,,,"Tile, Laminate","Dishwasher, Garbage disposal, Range / Oven, Refrigerator","1,325 sqft",Yes
453141,3,,,Hardwood,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","2,294 sqft",Yes
20797716,2,,None,Hardwood,Range / Oven,"2,355 sqft",Yes
20794223,2,,,"Hardwood, Tile","Dishwasher, Freezer, Garbage disposal, Microwave, Refrigerator","1,682 sqft",
110729370,2,,Finished,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","1,866 sqft","Wood Burning, 2 or more Fireplaces"
27324149,2,,,"Tile, Hardwood","Dishwasher, Microwave","1,859 sqft","Wood Burning, Decorative"
63012888,1,,,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",897 sqft,
55397006,1,,Partially finished,Hardwood,"Dryer, Range / Oven, Refrigerator, Washer",900 sqft,
158776765,3,,Finished,"Tile, Carpet, Hardwood","Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","4,584 sqft",Yes
17010299,1,,,"Tile, Carpet, Laminate",,"1,170 sqft",
104454096,1,,,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",713 sqft,
81968055,,,,"Tile, Carpet","Range / Oven, Refrigerator","1,956 sqft",
2077819232,1,,,"Carpet, Hardwood, Laminate",,700 sqft,
15086469,,,,,,824 sqft,Yes
111435637,2,,,Other,Refrigerator,"1,873 sqft",
27325725,3,,,Other,"Dishwasher, Microwave","1,724 sqft",Wood Burning
2077915350,4,,,"Hardwood, Tile","Dishwasher, Garbage disposal, Microwave, Range / Oven","2,890 sqft",
66134507,2,,,"Tile, Carpet, Hardwood","Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","3,361 sqft","Gas Fireplace, 1 Fireplace"
7515343,,,,"Carpet, Linoleum / Vinyl, Tile",Range / Oven,"1,289 sqft",
15069492,,,,Carpet,,520 sqft,
26802339,1,,,"Carpet, Linoleum / Vinyl",,"1,267 sqft",
2078664523,3,,,"Tile, Concrete, Hardwood","Dishwasher, Garbage disposal, Refrigerator","5,528 sqft",Yes
113950920,3,,,"Tile, Carpet, Hardwood","Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","2,400 sqft",Yes
69669976,,,None,"Carpet, Linoleum / Vinyl","Dryer, Washer","3,646 sqft",
449292,2,,,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Washer","1,248 sqft",Yes
70447588,1,,,"Hardwood, Linoleum / Vinyl","Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",850 sqft,
60529017,3,,Finished,,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer","2,636 sqft",Yes
27324765,2,,,"Tile, Carpet, Laminate","Dishwasher, Microwave, Refrigerator, Trash compactor","1,939 sqft","Gas Logs, Gas Starter, Stone"
19581408,2,,None,"Tile, Laminate","Dishwasher, Dryer, Range / Oven, Refrigerator, Washer","1,284 sqft",Yes
26819446,2,,None,"Carpet, Laminate, Linoleum / Vinyl",Washer,"1,899 sqft",
20796184,1,,,"Laminate, Tile","Range / Oven, Refrigerator",426 sqft,
104453117,1,,,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","1,011 sqft",Yes
3591199,1,,,"Hardwood, Laminate","Dishwasher, Freezer, Microwave, Range / Oven, Refrigerator",750 sqft,
3591833,2,,Partially finished,"Tile, Carpet, Hardwood","Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","2,240 sqft",Yes
89148047,3,,Finished,,"Dishwasher, Garbage disposal","2,208 sqft","Living Room, Gas"
19579826,1,,,"Carpet, Hardwood",Refrigerator,"1,077 sqft",
70336895,4,,,"Tile, Carpet, Hardwood","Dishwasher, Garbage disposal, Microwave, Range / Oven","4,183 sqft",Yes
92352811,,,,"Carpet, Tile","Dishwasher, Range / Oven","2,750 sqft",
7515356,,,,Hardwood,Range / Oven,"1,759 sqft",Yes
26906412,2,,,"Carpet, Linoleum / Vinyl",Dishwasher,"1,841 sqft",Yes
26947300,2,,,"Tile, Carpet, Hardwood",Microwave,"2,238 sqft","Brick, Gas Starter, Wood Burning"
36731224,3,,Finished,Hardwood,"Dishwasher, Microwave, Range / Oven, Refrigerator","1,836 sqft",Yes
26817292,1,,,Laminate,"Dishwasher, Refrigerator",748 sqft,
306141859,3,,,,"Dishwasher, Garbage disposal, Microwave, Range / Oven","2,607 sqft",
20784322,6,,,Hardwood,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Refrigerator, Washer","5,321 sqft",Yes
58297288,5,,,Tile,,"10,396 sqft","Family Room, Living Room, Bedroom"
7515443,,,,Tile,Microwave,"2,487 sqft",Yes
20785955,3,,,"Hardwood, Tile","Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","1,973 sqft",
82294487,2,,,Hardwood,"Dishwasher, Dryer, Microwave, Refrigerator, Washer","1,565 sqft",
55421174,1,,Unfinished,Hardwood,"Dishwasher, Dryer, Range / Oven","2,028 sqft",Yes
27326048,2,,,"Carpet, Laminate, Linoleum / Vinyl","Dishwasher, Microwave, Refrigerator","1,764 sqft","Gas Logs, Gas Starter"
70747556,3,,,Tile,"Dishwasher, Microwave, Range / Oven, Refrigerator","3,438 sqft",Yes
7514205,,,,,"Dishwasher, Microwave, Range / Oven, Refrigerator",788 sqft,
65546308,1,,,"Hardwood, Laminate",,900 sqft,
110737102,1,,"Finished, Full, Block, Sump Pump",Hardwood,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator","2,358 sqft",
69302229,2,,,"Tile, Carpet","Dishwasher, Garbage disposal, Range / Oven, Refrigerator",924 sqft,
60261285,1,,,"Tile, Hardwood","Dishwasher, Garbage disposal, Range / Oven, Refrigerator",950 sqft,
